id,value,position,expiration,feed_id,created_at,updated_at,completed_at,location_id,group_id,is_numeric
2111980906,21.62,,,635051,2017-01-07 12:03:35 -0800,2017-01-07 12:03:35 -0800,,,103895,true
2111982771,22.19,,,635051,2017-01-07 12:03:50 -0800,2017-01-07 12:03:50 -0800,,,103895,true
2111984453,22.75,,,635051,2017-01-07 12:04:05 -0800,2017-01-07 12:04:05 -0800,,,103895,true
2111986170,23.44,,,635051,2017-01-07 12:04:20 -0800,2017-01-07 12:04:20 -0800,,,103895,true
2111988132,24.06,,,635051,2017-01-07 12:04:35 -0800,2017-01-07 12:04:35 -0800,,,103895,true
2111989954,24.75,,,635051,2017-01-07 12:04:51 -0800,2017-01-07 12:04:51 -0800,,,103895,true
2111991631,25.37,,,635051,2017-01-07 12:05:06 -0800,2017-01-07 12:05:06 -0800,,,103895,true
2111993373,26.19,,,635051,2017-01-07 12:05:21 -0800,2017-01-07 12:05:21 -0800,,,103895,true
2111995294,26.87,,,635051,2017-01-07 12:05:36 -0800,2017-01-07 12:05:36 -0800,,,103895,true
2111997098,27.62,,,635051,2017-01-07 12:05:51 -0800,2017-01-07 12:05:51 -0800,,,103895,true
2111998834,28.31,,,635051,2017-01-07 12:06:06 -0800,2017-01-07 12:06:06 -0800,,,103895,true
2112000497,29.06,,,635051,2017-01-07 12:06:21 -0800,2017-01-07 12:06:21 -0800,,,103895,true
2112002425,29.81,,,635051,2017-01-07 12:06:37 -0800,2017-01-07 12:06:37 -0800,,,103895,true
2112004280,30.50,,,635051,2017-01-07 12:06:52 -0800,2017-01-07 12:06:52 -0800,,,103895,true
2112006034,31.25,,,635051,2017-01-07 12:07:07 -0800,2017-01-07 12:07:07 -0800,,,103895,true
2112007711,32.06,,,635051,2017-01-07 12:07:22 -0800,2017-01-07 12:07:22 -0800,,,103895,true
2112009641,32.75,,,635051,2017-01-07 12:07:37 -0800,2017-01-07 12:07:37 -0800,,,103895,true
2112011315,33.50,,,635051,2017-01-07 12:07:52 -0800,2017-01-07 12:07:52 -0800,,,103895,true
2112013069,34.25,,,635051,2017-01-07 12:08:07 -0800,2017-01-07 12:08:07 -0800,,,103895,true
2112014804,35.00,,,635051,2017-01-07 12:08:23 -0800,2017-01-07 12:08:23 -0800,,,103895,true
2112016772,35.75,,,635051,2017-01-07 12:08:38 -0800,2017-01-07 12:08:38 -0800,,,103895,true
2112018574,36.50,,,635051,2017-01-07 12:08:53 -0800,2017-01-07 12:08:53 -0800,,,103895,true
2112020315,37.19,,,635051,2017-01-07 12:09:08 -0800,2017-01-07 12:09:08 -0800,,,103895,true
2112022024,37.94,,,635051,2017-01-07 12:09:23 -0800,2017-01-07 12:09:23 -0800,,,103895,true
2112023998,38.69,,,635051,2017-01-07 12:09:38 -0800,2017-01-07 12:09:38 -0800,,,103895,true
2112025766,39.44,,,635051,2017-01-07 12:09:53 -0800,2017-01-07 12:09:53 -0800,,,103895,true
2112027558,40.19,,,635051,2017-01-07 12:10:08 -0800,2017-01-07 12:10:08 -0800,,,103895,true
2112029328,40.94,,,635051,2017-01-07 12:10:23 -0800,2017-01-07 12:10:23 -0800,,,103895,true
2112031315,41.56,,,635051,2017-01-07 12:10:39 -0800,2017-01-07 12:10:39 -0800,,,103895,true
2112033093,42.31,,,635051,2017-01-07 12:10:54 -0800,2017-01-07 12:10:54 -0800,,,103895,true
2112034864,43.06,,,635051,2017-01-07 12:11:09 -0800,2017-01-07 12:11:09 -0800,,,103895,true
2112036554,43.75,,,635051,2017-01-07 12:11:24 -0800,2017-01-07 12:11:24 -0800,,,103895,true
2112038495,44.44,,,635051,2017-01-07 12:11:39 -0800,2017-01-07 12:11:39 -0800,,,103895,true
2112040358,45.12,,,635051,2017-01-07 12:11:54 -0800,2017-01-07 12:11:54 -0800,,,103895,true
2112042236,45.88,,,635051,2017-01-07 12:12:10 -0800,2017-01-07 12:12:10 -0800,,,103895,true
2112043831,46.56,,,635051,2017-01-07 12:12:25 -0800,2017-01-07 12:12:25 -0800,,,103895,true
2112045822,47.25,,,635051,2017-01-07 12:12:40 -0800,2017-01-07 12:12:40 -0800,,,103895,true
2112047616,47.94,,,635051,2017-01-07 12:12:55 -0800,2017-01-07 12:12:55 -0800,,,103895,true
2112049441,48.63,,,635051,2017-01-07 12:13:10 -0800,2017-01-07 12:13:10 -0800,,,103895,true
2112051072,49.25,,,635051,2017-01-07 12:13:25 -0800,2017-01-07 12:13:25 -0800,,,103895,true
2112053019,49.94,,,635051,2017-01-07 12:13:40 -0800,2017-01-07 12:13:40 -0800,,,103895,true
2112054857,50.63,,,635051,2017-01-07 12:13:55 -0800,2017-01-07 12:13:55 -0800,,,103895,true
2112056746,51.31,,,635051,2017-01-07 12:14:11 -0800,2017-01-07 12:14:11 -0800,,,103895,true
2112058399,51.94,,,635051,2017-01-07 12:14:26 -0800,2017-01-07 12:14:26 -0800,,,103895,true
2112060385,52.56,,,635051,2017-01-07 12:14:41 -0800,2017-01-07 12:14:41 -0800,,,103895,true
2112062125,53.19,,,635051,2017-01-07 12:14:56 -0800,2017-01-07 12:14:56 -0800,,,103895,true
2112063914,53.87,,,635051,2017-01-07 12:15:11 -0800,2017-01-07 12:15:11 -0800,,,103895,true
2112065718,54.50,,,635051,2017-01-07 12:15:26 -0800,2017-01-07 12:15:26 -0800,,,103895,true
2112067688,55.12,,,635051,2017-01-07 12:15:41 -0800,2017-01-07 12:15:41 -0800,,,103895,true
2112069466,55.69,,,635051,2017-01-07 12:15:56 -0800,2017-01-07 12:15:56 -0800,,,103895,true
2112071337,56.37,,,635051,2017-01-07 12:16:12 -0800,2017-01-07 12:16:12 -0800,,,103895,true
2112073011,56.94,,,635051,2017-01-07 12:16:27 -0800,2017-01-07 12:16:27 -0800,,,103895,true
2112075061,57.56,,,635051,2017-01-07 12:16:42 -0800,2017-01-07 12:16:42 -0800,,,103895,true
2112076766,58.19,,,635051,2017-01-07 12:16:57 -0800,2017-01-07 12:16:57 -0800,,,103895,true
2112078579,58.75,,,635051,2017-01-07 12:17:12 -0800,2017-01-07 12:17:12 -0800,,,103895,true
2112080314,59.31,,,635051,2017-01-07 12:17:27 -0800,2017-01-07 12:17:27 -0800,,,103895,true
2112082281,59.88,,,635051,2017-01-07 12:17:42 -0800,2017-01-07 12:17:42 -0800,,,103895,true
